question,answer,mrr,recall@10,method
How does Symphony work?,"A symphony is an extended musical composition in Western classical music, most often for orchestra. Although the term has had many meanings from its origins in the ancient Greek era, by the late 18th century the word had taken on the meaning common today: a work usually consisting of multiple distinct sections or movements, often four, with the first movement in sonata form.",1.0,1.0,dense
What is the difference between Guitar and Curtis P. Iaukea?,"Guitar is very plain and the Baroque guitar is very ornate, with ivory or wood inlays all over the neck and body, and a paper-cutout inverted wedding cake inside the hole.",0.0,0.0,dense
What is The simple carbon?,"sugars photosynthesis produces are then used to form other organic compounds, such as the building material cellulose, the precursors for lipid and amino acid biosynthesis, or as a fuel in cellular respiration.",0.5,1.0,dense
"What is Under these conditions,?",a condition where a market price is established through competition such that the amount of goods or services sought by buyers is equal to the amount (goods or services) produced by sellers. This price is often called the competitive price or market clearing price and will tend not to change unless demand or supply changes.,0.0,0.0,dense
Where is Database located?,"Physically, database servers are dedicated computers that hold the actual databases and run only the DBMS and related software. Database servers are usually multiprocessor computers, with generous memory and RAI.",1.0,1.0,dense
How are Existentialism and Stadio dei Marmi related?,"Existentialism is associated with several 19th- and 2 Source 2: Philosophers such as Hans Jonas and Rudolph Bultmann introduced the concept of existentialist demythologization into the field of early Christianity and Christian theology, respectively.",0.0,0.0,dense
What is Depending on the?,"The probability of getting one gene over the other can change due to dominant, recessive, homozygous, or heterozygoous genes. f. Source 2: In that particular change he introduces the concept of potentiality (dynamis) and actuality (entelecheia) in association with the matter and the form. Referring to potentiality, this is what a thing is capable of doing or being acted upon if the conditions are right and it is not prevented by something else. For example, the seed of a plant in the soil is potentially (dynamei) a plants, and if it i Source 3: To qualify as a probability distribution, the assignment of values must satisfy the requirement that if you look at a collection of mutually exclusive events (events that contain no common results.",0.0,0.0,dense
What is This process is?,"The main process typically used today is called plasma etching. A common etch gas is chlorofluorocarbon, or more commonly known Freon. A high radio-frequency voltage between the cathode and anode is what creates the plasma in the chamber.",0.0,0.0,dense
What is There are more?,"The problem of the many is a philosophical question about the conditions under which several individual things compose a larger whole. For example, a cloud comprises many droplets without a clear boundary, raising the question of which droplets form part of the cloud.",0.0,0.0,dense
Why was 1980 United States presidential election in New York created?,"All 50 states and the District of Columbia were part of the 1980 United States presidential election. Voters chose 41 electors to the Electoral College, which voted for President and Vice President. New York was won by former California Governor Ronald Reagan, in a narrow victory against President of the Unite.",1.0,1.0,dense
What is Specially protected areas?,"The Convention for the Conservation of Antarctic Marine Living Resources, an international treaty that came into force in 1980, regulates fisheries, aiming to preserve ecological relationships. Despite these regulations, illegal fishing particularly of the highly prized Patagonian toothfish which is marketed as Chilean sea bass in the U.S. remains a problem. In analogy to the 1980 treaty on sustai.",1.0,1.0,sparse
What is Carbon concentrating mechanisms?,"Some plants have evolved mechanisms to increase the CO2 concentration in the leaves under these conditions. Plants that use the C4 carbon fixation process chemically fix carbon dioxide in the cells of the mesophyll by adding it to the three-carbon molecule phosphoenolpyruvate (PEP), a reaction catalyzed by an enzyme called PEP carboxylase, creating the four-carbon organic acid oxaloacetic acid. Ox.",1.0,1.0,sparse
What is The fixation or?,"The fixation or reduction of carbon dioxide. Source 1: Some plants have evolved mechanisms to increase the CO2 concentration in the leaves under these conditions. Plants that use the C4 carbon fixation process chemically fix carbon dioxide in the cells of the mesophyll by adding it to the three-carbon molecule phosphoenolpyruvate (PEP), a reaction catalyzed by an enzyme called PEP carboxylase, creating the four-carbon organic acid oxaloacetic acid. Ox Source 2: The simple carbon sugars photosynthesis produces are then used to form other organic compounds, such as the building material cellulose, the precursors for lipid and amino acid biosynthesis, or as a fuel in cellular respiration. The latter occurs not only in plants but also in animals when the carbon and.",1.0,1.0,sparse
How are Construct validity and Rank of a group related?,"Convergent validity refers to the degree to which two measures of constructs that theoretically should be related, are in fact related. In contrast, discriminant validity tests whether concepts or measurements that are supposed to be unrelated are, in fact, un.",0.0,0.0,sparse
What is This product is?,"A prime number (or a prime) is a natural number greater than 1 that is not a product of two smaller natural numbers. A natural number larger than 1 is called a composite number. For example, 5 is prime because the only ways of writing it as a ""product"" is called ""Euler product."" The Euler product can be derived from the fundamental theorem of arithmetic, and shows the close connection between the zeta function and the prime numbers. It leads to another proof that there are.",0.0,0.0,sparse
What is History of exploration?,"a systematic study of general and fundamental questions concerning topics like existence, knowledge, mind, reason, language, and value. It is a rational and critical inquiry that reflects on its methods and assumptions. Historically, many of the individual sciences, such as physics and psychology, formed part of philosophy.",0.0,0.0,sparse
What are the similarities between Kai yang and Biochemistry?,"In Thailand, there are also many famous Thai Muslim varieties of kai yang which are not of Lao origin at all, but more akin to the grilled chicken from Malaysia.",0.0,0.0,sparse
Who is associated with The Bobby Broom Trio?,"Dennis Carroll and drummer, George Fludas. Source 2: Beginning with their 2006 debut as a group, Song and Dance, more evidence of their development can be heard on recordings like Bobby Broom Plays for Monk, which peaked at 2 on the JazzWeek national jazz radio airplay chart and The Way I Play, Live In Chicago. The latter of those recordings (as well as others during this period) has become influential to young, millennial jazz guitarists. Most not Source 3: Singer Bobby grew up listening to rap, grime, punk and indie rock. After learning the guitar, he wanted to incorporate all of his influences into his music.",1.0,1.0,sparse
Who discovered Game theory?,"The first use of game-theoretic analysis was by Antoine Augustin Cournot in 1838 with his solution of the Cournot duopoly. The use of Game theory in the social sciences has expanded, and game theory has been applied to political, sociological, and psychological behaviors as well.",1.0,1.0,sparse
What is the difference between Enzyme and Genetics?,"Gregor Mendel, a Moravian Augustinian friar working in the 19th century in Brno, was the first to study genetics scientifically. Mendel studied trait inheritance , patterns in the way traits are handed down from parents to offspring.",0.0,0.0,sparse
How does Symphony work?,"The word sinfonietta came into use to designate a work that is shorter, of more modest aims, or lighter than a symphony.",1.0,1.0,sparse
What is the difference between Guitar and Curtis P. Iaukea?,"Curtis Piehu Iaukea (December 13, 1855 March 5, 1940) served as a court official, army officer and diplomat of the Kingdom of Hawaii. He later became an influential official for the subsequent regimes of the Provisional Government and the Republic and the Territory of Hawaii.",0.0,0.0,sparse
What is The simple carbon?,"sugars photosynthesis produces are then used to form other organic compounds, such as the building material cellulose, the precursors for lipid and amino acid biosynthesis, or as a fuel in cellular respiration.",1.0,1.0,sparse
"What is Under these conditions,?","the independent variable corresponds to time, this information takes the form of initial conditions. For example, for a second-order ODE describing the motion of a particle, the initial conditions would typically be the position and velocity of the particle at the initial time. The ODE and its initial conditions form what is known as an initial value problem. The second stage was the family wage economy of early industrialisation; the entire family depended on the collective wages of its members, including husband, wife, and older children. The third, or modern stage is the family consumer economy , in which the family is the site of consumption, and women are employed in large numbers in retail and clerical jobs to support rising consumption.",0.0,0.0,sparse
Where is Database located?,"Physically, database servers are dedicated computers that hold the actual databases and run only the DBMS and related software. Database servers are usually multiprocessor computers, with generous memory and RAI.",1.0,1.0,sparse
How are Existentialism and Stadio dei Marmi related?,"The Stadio dei Marmi ( Stadium of the Marbles ) is one of four stadiums located in the colossal sports complex, the Foro Italico in Rome, Italy.",0.0,0.0,sparse
What is Depending on the?,"This attack will have very different results depending on the stack application you are targeting. Using this against a Cisco 1700 (IOS) web server, it was observed that sockets were left in FIN_WAIT_1 indefinitely. After enough of such sockets, the router could no longer communicate TCP correctly. Look at the payload.c file in the sockstress source. Look for the hport switch statement. In that se.",0.25,1.0,sparse
What is This process is?,"The dominant contribution at the LHC and Tevatron being about ten times more likely than any of the other processes. Higgs Strahlung. If an elementary fermion collides with an anti-fermion e.g., a quark with an Anti-quark or an electron with a positron the two can merge to form a virtual W or Z boson which, if it carries sufficient energy, can then emit a Higg's boson. This proce.",0.0,0.0,sparse
What is There are more?,I couldn't find relevant information to answer this question.,0.0,0.0,sparse
Why was 1980 United States presidential election in New York created?,The reduced vote number margin in New York City from vote-splitting would prove fatal to Carter's chances in 1980. While Reagan only bled about 1 off Republican base support in the state (winning a plurality in a 3-way-race with 46.6.,1.0,1.0,sparse
What is Specially protected areas?,"The island's protected natural areas to over 60,000 km2 (23,000 sq mi) or 10 of Madagascar's land surface. As of 2011, areas protected by the state included five Stric.",0.0,0.0,hybrid
What is Carbon concentrating mechanisms?,"Some plants have evolved mechanisms to increase the CO2 concentration in the leaves under these conditions. Plants that use the C4 carbon fixation process chemically fix carbon dioxide in the cells of the mesophyll by adding it to the three-carbon molecule phosphoenolpyruvate (PEP), a reaction catalyzed by an enzyme called PEP carboxylase, creating the four-carbon organic acid oxaloacetic acid. Ox.",1.0,1.0,hybrid
What is The fixation or?,"process substitution or more commonly in biology, this is called fixation . This is correctly described by the differential survival and reproduction of individuals due to differences in phenotype. On the other hand, improvement in fitness is not dependent on the differential surviv...",0.3333333333333333,1.0,hybrid
How are Construct validity and Rank of a group related?,"Convergent validity refers to the degree to which two measures of constructs that theoretically should be related, are in fact related. In contrast, discriminant validity tests whether concepts or measurements that are supposed to be unrelated are, in fact, un.",0.0,0.0,hybrid
What is This product is?,"The item traded may be a tangible product such as apples or a service such as repair services, legal counsel, or entertainment. Various market structures exist. In perfectly competitive markets, no participants are large enough to have the market power to set the price of a homogeneous product.",0.0,0.0,hybrid
What is History of exploration?,"The Age of Discovery (c. 1418 c. 1620), also known as the Age of Exploration, was part of the early modern period and overlapped with the age of Sail. It was a period from approximately the 15th to the 17th century, during which seafarers from European countries explored, colonized, and conquered regions across the globe.",0.0,0.0,hybrid
What are the similarities between Kai yang and Biochemistry?,"A sub-discipline of both chemistry and biology, biochemistry may be divided into three fields: structural biology, enzymology, and metabolism. Over the last decades of the 20th century, Biochemistry has become successful at explaining living processes.",0.0,0.0,hybrid
Who is associated with The Bobby Broom Trio?,"Dennis Carroll and drummer, George Fludas. Source 2: Beginning with their 2006 debut as a group, Song and Dance, more evidence of their development can be heard on recordings like Bobby Broom Plays for Monk, which peaked at 2 on the JazzWeek national jazz radio airplay chart and The Way I Play, Live In Chicago. The latter of those recordings (as well as others during this period) has become influential to young, millennial jazz guitarists. Most not Source 3: Singer Bobby grew up listening to rap, grime, punk and indie rock. After learning the guitar, he wanted to incorporate all of his influences into his music.",1.0,1.0,hybrid
Who discovered Game theory?,"Antoine Augustin Cournot in 1838 with his solution of the Cournot duopoly. The use of game theory in the social sciences has expanded, and game theory has been applied to political, sociological, and psychological behaviors as well. Although pre-twentieth-century naturalists such as Charles Darwin made game-theoretic kinds of statements, the use of g Source 3: Chastain, Erick; Livnat, Adi; Papadimitriou, Christos; Vazirani, Umesh (June 2014), Algorithms, games, and evolution , Proceedings of the National Academy of Sciences of the United States of America, 111 (29): 10620 10623, Bibcode:2014PNAS..11110620C, doi:10.107.",1.0,1.0,hybrid
What is the difference between Enzyme and Genetics?,"Gregor Mendel, a Moravian Augustinian friar working in the 19th century in Brno, was the first to study genetics scientifically. Mendel studied trait inheritance , patterns in the way traits are handed down from parents to offspring. Source 3: Quantity Enzyme production (transcription and translation of enzyme genes) can be enhanced or diminished by a cell in response to changes in the cell's environment. This form of gene regulation is called enzyme induction. For example, bacteria may become resistant to antibiotics such as penicillin because enzymes called beta-lactamases are induced that hydrolyse the crucial beta-lactam ring within Source 5: Enzymes can be sequestered to the plasma membrane away from a substrate in the nucleus or cytosol. Or within the.",0.0,0.0,hybrid
How does Symphony work?,"A symphony is an extended musical composition in Western classical music, most often for orchestra. Although the term has had many meanings from its origins in the ancient Greek era, by the late 18th century the word had taken on the meaning common today: a work usually consisting of multiple distinct sections or movements, often four, with the first movement in sonata form. Symphonies are almost.",1.0,1.0,hybrid
What is the difference between Guitar and Curtis P. Iaukea?,"Guitar and Curtis P. Iaukea are two different types of musical instruments. Guitar is a type of musical instrument that can be played with a single finger, or a combination of two or more strings.",0.0,0.0,hybrid
What is The simple carbon?,"sugars photosynthesis produces are then used to form other organic compounds, such as the building material cellulose, the precursors for lipid and amino acid biosynthesis, or as a fuel in cellular respiration.",1.0,1.0,hybrid
"What is Under these conditions,?","the independent variable corresponds to time, this information takes the form of initial conditions. For example, for a second-order ODE describing the motion of a particle, the initial conditions would typically be the position and velocity of the particle at the initial time. The ODE and its initial conditions form what is known as an initial value problem.",0.0,0.0,hybrid
Where is Database located?,"Physically, database servers are dedicated computers that hold the actual databases and run only the DBMS and related software. Database servers are usually multiprocessor computers, with generous memory and RAI.",1.0,1.0,hybrid
How are Existentialism and Stadio dei Marmi related?,"Existentialism is associated with several 19th- and 2 Source 3: The Stadio dei Marmi ( Stadium of the Marbles ) is one of four stadiums located in the colossal sports complex, the Foro Italico in Rome, Italy.",0.0,0.0,hybrid
What is Depending on the?,"conditional proposition p q displaystyle p to q , one can form truth tables of its converse p (q p displaystyle lenot (p q) to p) , its inverse ( p > q Displaystyle lnot p , to lt q ), and its contrapositive ( q = p + l[t] ) . Truth tables can also be defined for more complex expressions that use several propositional connectives. Arguments and inferen Source 2: Broadly, these include three main categories: strikers, or forwards, whose main task is to score goals; defenders, who specialise in preventing their opponents from scoring; and midfielders, who dispossess the opposition and keep possession of.",0.0,0.0,hybrid
What is This process is?,"A software interrupt is a message to a process that an event has occurred. This contrasts with a hardware interrupt, which is a signal to the central processing unit (CPU) that an event.",0.0,0.0,hybrid
What is There are more?,"The problem of the many is a philosophical question about the conditions under which several individual things compose a larger whole. For example, a cloud comprises many droplets without a clear boundary, raising the question of which droplets form part of the cloud.",0.0,0.0,hybrid
Why was 1980 United States presidential election in New York created?,"The PDBA was tasked to fill the vacuum and carried out a purge of Amin supporters. Soviet troops were deployed to put Afghanistan under Soviet control with Karmal in more substantial numbers, although the Soviet government did not expect to do most of the fighting in Afghanistan.",1.0,1.0,hybrid
