question,expected_url,retrieved_top1_url,answer,expected_answer,mrr,recall@10,answer_f1,has_ending,retrieval_time,generation_time,total_time,method
How does Symphony work?,https://en.wikipedia.org/wiki/Symphony,https://en.wikipedia.org/wiki/Symphony,"A symphony is an extended musical composition in Western classical music, most often for orchestra. Although the term has had many meanings from its origins in the ancient Greek era, by the late 18th century the word had taken on the meaning common today: a work usually consisting of multiple distinct sections or movements, often four, with the first movement in sonata form.","A symphony is an extended musical composition in Western classical music, most often for orchestra. Although the term has had many meanings from its origins in the ancient Greek era, by the late 18th ",1.0,1.0,0.0,True,0.060781002044677734,5.133534908294678,5.194340944290161,dense
What is the difference between Guitar and Curtis P. Iaukea?,"['https://en.wikipedia.org/wiki/Guitar', 'https://en.wikipedia.org/wiki/Curtis_P._Iaukea']",https://en.wikipedia.org/wiki/Guitar,"Guitar is very plain and the Baroque guitar is very ornate, with ivory or wood inlays all over the neck and body, and a paper-cutout inverted wedding cake inside the hole.",Comparison of Guitar and Curtis P. Iaukea,0.0,0.0,0.0,True,0.07708907127380371,3.103501796722412,3.180617094039917,dense
What is The simple carbon?,https://en.wikipedia.org/wiki/Photosynthesis,https://en.wikipedia.org/wiki/Biochemistry,"sugars photosynthesis produces are then used to form other organic compounds, such as the building material cellulose, the precursors for lipid and amino acid biosynthesis, or as a fuel in cellular respiration.","The simple carbon sugars photosynthesis produces are then used to form other organic compounds, such as the building material cellulose, the precursors for lipid and amino acid biosynthesis, or as a fuel in cellular respiration",0.5,1.0,0.0,True,0.060439109802246094,4.89651083946228,4.956977844238281,dense
"What is Under these conditions,?",https://en.wikipedia.org/wiki/Photosynthesis,https://en.wikipedia.org/wiki/Economics,"The item traded may be a tangible product such as apples or a service such as repair services, legal counsel, or entertainment. Various market structures exist. In perfectly competitive markets, no participants are large enough to have the market power to set the price of a homogeneous product. In other words, every participant is a price taker.","Under these conditions, CO2 will decrease and oxygen gas, produced by the light reactions of photosynthesis, will increase, causing an increase of photorespiration by the oxygenase activity of ribulose-1,5-bisphosphate carboxylase oxygenase (RuBisCO) and decrease in carbon fixation",0.0,0.0,0.0,True,0.07550811767578125,4.78419303894043,4.859723091125488,dense
Where is Database located?,https://en.wikipedia.org/wiki/Database,https://en.wikipedia.org/wiki/Database,"Physically, database servers are dedicated computers that hold the actual databases and run only the DBMS and related software. Database servers are usually multiprocessor computers, with generous memory and RAI.","In computing, a database is an organized collection of data or a type of data store based on the use of a database management system (DBMS), the software that interacts with end users, applications, a",1.0,1.0,0.0,True,0.07541704177856445,4.37094521522522,4.446388244628906,dense
How are Existentialism and Stadio dei Marmi related?,"['https://en.wikipedia.org/wiki/Existentialism', 'https://en.wikipedia.org/wiki/Stadio_dei_Marmi']",https://en.wikipedia.org/wiki/Existentialism,"Existentialism is associated with several 19th- and 2 Source 2: Philosophers such as Hans Jonas and Rudolph Bultmann introduced the concept of existentialist demythologization into the field of early Christianity and Christian theology, respectively.",Information from Existentialism and Stadio dei Marmi,0.0,0.0,0.0,True,0.05510711669921875,4.713167905807495,4.768306255340576,dense
What is Depending on the?,https://en.wikipedia.org/wiki/Sockstress,https://en.wikipedia.org/wiki/Aristotle,"A more moderate form of realism, inspired by Aristotle, states that universals depend on particulars, meaning that they are only real if they are instantiated. Source 3: In Book VIII, he distinguishes the matter of the substance as the substratum, or the stuff of which it is composed. In other words, the prices of all substitutes and complements, as well as income levels of consumers are constant. This makes analysis much simpler than in a general equilibrium model which includes an entire economy. Here the dynamic process is that prices adjust until supply equals demand. It is a powerfully simple technique that allows one to study equilibrium, efficiency and comparative static.","Depending on the stack, this could cause the remote system to allocate multiple pages of kernel memory per connection",0.0,0.0,0.0,True,0.07561588287353516,8.540493726730347,8.616132736206055,dense
What is This process is?,https://en.wikipedia.org/wiki/European_Union,https://en.wikipedia.org/wiki/Operating_system,"The main process typically used today is called plasma etching. A common etch gas is chlorofluorocarbon, or more commonly known Freon. A high radio-frequency voltage between the cathode and anode is what creates the plasma in the chamber.","This process is normally underpinned by an Action Plan, as agreed by both Brussels and the target country",0.0,0.0,0.0,True,0.06024980545043945,4.336575984954834,4.396850824356079,dense
What is There are more?,https://en.wikipedia.org/wiki/Antarctica,https://en.wikipedia.org/wiki/Metaphysics,"The problem of the many is a philosophical question about the conditions under which several individual things compose a larger whole. For example, a cloud comprises many droplets without a clear boundary, raising the question of which droplets form part of the cloud.",There are more terrestrial protected areas than marine protected areas,0.0,0.0,0.0,True,0.07441186904907227,3.918170213699341,3.992608070373535,dense
Why was 1980 United States presidential election in New York created?,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_York,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_York,"All 50 states and the District of Columbia were part of the 1980 United States presidential election. Voters chose 41 electors to the Electoral College, which voted for President and Vice President. New York was won by former California Governor Ronald Reagan, in a narrow victory against President of the Unite.","The 1980 United States presidential election in New York took place on November 4, 1980. All 50 states and the District of Columbia were part of the 1980 United States presidential election. Voters ch",1.0,1.0,0.0,True,0.061528921127319336,4.437138319015503,4.498702764511108,dense
Compare Antarctica and World War I.,"['https://en.wikipedia.org/wiki/Antarctica', 'https://en.wikipedia.org/wiki/World_War_I']",https://en.wikipedia.org/wiki/Antarctica,"Antarctica is colder than its western counterpart because of its higher elevation. Weather fronts rarely penetrate far into the continent, leaving the centre cold. World War I transformed the political, economic, and social structures of the world, and established the foundation of international relations for t.",Comparison of Antarctica and World War I,0.0,0.0,0.0,True,0.0654900074005127,3.059519052505493,3.1250388622283936,dense
What does Acid–base reaction mean?,https://en.wikipedia.org/wiki/Acid-base_reaction,https://en.wikipedia.org/wiki/Acid-base_reaction,"a chemical reaction that occurs between an acid and a base. It can be used to determine pH via titration. Several theoretical frameworks provide alternative conceptions of the reaction mechanisms and their application in solving related problems; these are called the acid base theories, for example, Brnsted Lowry acid base theory. Their importance becomes ap.","In chemistry, an acid base reaction is a chemical reaction that occurs between an acid and a base. It can be used to determine pH via titration. Several theoretical frameworks provide alternative conc",1.0,1.0,0.0,True,0.0609889030456543,4.880116939544678,4.9411399364471436,dense
How are J. R. R. Tolkien and Blues related?,"['https://en.wikipedia.org/wiki/J._R._R._Tolkien', 'https://en.wikipedia.org/wiki/Blues']",https://en.wikipedia.org/wiki/J._R._R._Tolkien,"Several blue plaques in England commemorate places associated with Tolkien, including for his childhood, his workplaces, and places he visited. The Royal Mint produced a commemorative 2 coin in 2023 to mark the 50th anniversary of Tolken's death.",Information from J. R. R. Tolkien and Blues,0.0,0.0,0.0,True,0.058984994888305664,3.643296957015991,3.702315092086792,dense
What is Ecosystems are impacted?,https://en.wikipedia.org/wiki/Antarctica,https://en.wikipedia.org/wiki/Evolution,"Deforestation, and severe economic, natural capital and ecosystem services impacts of not averting the tipping point. Howeve Source 4: Impact of early 21st-century Amazon droughts In 2005, parts of the Amazon basin experienced the worst drought in one hundred years, and there were indications that 2006 may have been a second successive year of drought. A 2006 article in the UK newspaper The Independent reported the Woods Hole Research Center results, showing that the forest in its present form could survive only three years of dr.","Ecosystems are impacted by local and global threats, notably pollution, the invasion of non-native species, and the various effects of climate change",0.0,0.0,0.0,True,0.07142400741577148,6.9623658657073975,7.033815145492554,dense
What are the main features of Misha Lajovic?,https://en.wikipedia.org/wiki/Misha_Lajovic,https://en.wikipedia.org/wiki/Library_War,"Her intelligence, charisma, and political acumen. Idris Imad al-Din, for example, described her as a woman of great piety, integrity, and excellence, perfect intelligence and erudition, surpassing men even . Umara describes her as well-read and, in addition to the gift of writing, she possessed a retentive memory stored with.","Milivoj Emil  Misha  Lajovic (23 July 1921   5 June 2008) was an Australian politician. He was a Liberal Party of Australia member of the Australian Senate for New South Wales from 1975 to 1985, as we",0.0,0.0,0.0,True,0.07286286354064941,5.026259183883667,5.099149942398071,dense
"How are John V, Count of Nassau-Siegen and Groote Beer (botter yacht) related?","['https://en.wikipedia.org/wiki/John_V,_Count_of_Nassau-Siegen', 'https://en.wikipedia.org/wiki/Groote_Beer_(botter_yacht)']","https://en.wikipedia.org/wiki/John_V,_Count_of_Nassau-Siegen","His brother is praised there as a 'complete Dutch nobleman'. Biography John was born in Breda on 9 November 1455 as the second and youngest son of Count John IV of Nassau-Siegen and Lady Mary of Looz. Source 2: Huberty, Michel; Giraud, Alain Magdelaine, F. B. (1981).","Information from John V, Count of Nassau-Siegen and Groote Beer (botter yacht)",0.0,0.0,0.0,True,0.06054401397705078,7.204078912734985,7.264663219451904,dense
What are the similarities between Galloping Hogan and Neural network?,"['https://en.wikipedia.org/wiki/Galloping_Hogan', 'https://en.wikipedia.org/wiki/Neural_network']",https://en.wikipedia.org/wiki/Lance_Storm,"He was born in the parish of Doon, at the foot of the Slieve Phelim hills in East Limerick, and was possibly a relatively wealthy landowner before becoming a rapparee. Under his guidance in 1690, Patrick Sarsfield and 500 Jacobite troops blew up the Williamite siege train at Ballyneety, County.",Comparison of Galloping Hogan and Neural network,0.0,0.0,0.0,True,0.07397890090942383,5.42033314704895,5.4943389892578125,dense
How do Number theory and Block party differ?,"['https://en.wikipedia.org/wiki/Number_theory', 'https://en.wikipedia.org/wiki/Block_party']",https://en.wikipedia.org/wiki/Number_theory,"Number theory is a branch of pure mathematics devoted primarily to the study of the integers and arithmetic functions. Number theorists study prime numbers as well as the properties of mathematical objects constructed from integers (for example, rational numbers).",Comparison of Number theory and Block party,0.0,0.0,0.0,True,0.06420040130615234,7.513999938964844,7.578230142593384,dense
When did Madagascar happen?,https://en.wikipedia.org/wiki/Madagascar,https://en.wikipedia.org/wiki/Madagascar,"By 1100, all regions of Madagascar were inhabited, although the total population remained small. Societies organized at the behest of hasina (which later evolved to embody kingship) and competed with one another over the island's estuaries and bridgeheads, with oral histories describing bloody clashes and earlier settlers often pushed along the coast or inland.","Madagascar, officially the Republic of Madagascar, is an island country in the Indian Ocean that includes the island of Madagascar and numerous smaller peripheral islands. Lying off the southeastern c",1.0,1.0,0.0,True,0.061860084533691406,6.53129506111145,6.593189239501953,dense
What is In analogy to?,https://en.wikipedia.org/wiki/Antarctica,https://en.wikipedia.org/wiki/Metaphysics,"a corollary, or words of the common language that are used in an accurate meaning that may differ slightly from their common meaning. For example, in mathematics, or means one, the other or both , while, i.","In analogy to the 1980 treaty on sustainable fishing, countries led by New Zealand and the United States negotiated a treaty on mining",0.0,0.0,0.0,True,0.07054519653320312,3.4946250915527344,3.565202236175537,dense
"How does Sandy Bay, Tasmania work?","https://en.wikipedia.org/wiki/Sandy_Bay,_Tasmania","https://en.wikipedia.org/wiki/Sandy_Bay,_Tasmania","It is bounded on the east by the Derwent River, and has several beaches along the shore, the main beaches with public access are Short Beach, Nutgrove Beach, Long Beach and Lords Beach. The suburb has many large.","Sandy Bay is a prestigious suburb of the city of Hobart, Tasmania, Australia, located immediately south of the central business district, and adjoining the suburb of Battery Point. Sandy Bay is bounde",1.0,1.0,0.0,True,0.0742652416229248,3.2026360034942627,3.2769341468811035,dense
When did The Kagestar happen?,https://en.wikipedia.org/wiki/The_Kagestar,https://en.wikipedia.org/wiki/The_Kagestar,"1976 77 Toei live action tokusatsu television series in which shadow puppeteer turned salaryman Kageo Sugata (Naoki Tachibana) gains the ability to merge with his shadow and transform into a hero known as Kagestar, thanks to an electric shock received while rescuing his wealthy boss's daughter Suzuko (Emi Hayakawa) from kidnappers.","The Kagestar (ザ カゲスター, Za Kagesutā) is a 1976 77 Toei live action tokusatsu television series in which shadow puppeteer turned salaryman Kageo Sugata (Naoki Tachibana) gains the ability to merge with ",1.0,1.0,0.0,True,0.07236289978027344,6.0308918952941895,6.103286027908325,dense
What is On the basis?,https://en.wikipedia.org/wiki/Olympic_Games,https://en.wikipedia.org/wiki/Epistemology,"Justification is a holistic aspect determined by the whole system of beliefs, which resembles an interconnected web. Source 2: While traditional epistemology is mainly interested in the knowledge possessed by individuals, social epistéology covers knowledge acquisition, transmission, and evaluation within groups, with specific emphasis on how people rely on each other when seeking knowledge. Source 3: But it also investigates practical knowledge, such as knowing how to ride a bicycle, and knowledge by acquaintance, for example, knowing a celebrity personally. Source 5: Some empiricists illustrate this view by describing the mind as a blank slate that only develops ideas about the external world through the sense data received from the sensory organs. According to them, the mind can attain various additional insights by comparing impressions, combining them, generalizing to form more abstract.","On the basis of this technical evaluation, the IOC Executive Board selects the applicants that will proceed to the candidature stage",0.0,0.0,0.0,True,0.07421183586120605,11.127899169921875,11.202139854431152,dense
What is Most (five out?,https://en.wikipedia.org/wiki/Photosynthesis,https://en.wikipedia.org/wiki/Tennis,"'all out' having scored fewer runs than their opponents, they are said to have lost by n runs (where n is the difference between the aggregate number of runs scored by the teams).","Most (five out of six molecules) of the glyceraldehyde 3-phosphate produced are used to regenerate ribulose 1,5-bisphosphate so the process can continue",0.0,0.0,0.0,True,0.08168506622314453,5.729466199874878,5.811175346374512,dense
How are Nile and Limping for a Generation related?,"['https://en.wikipedia.org/wiki/Nile', 'https://en.wikipedia.org/wiki/Limping_for_a_Generation']",https://en.wikipedia.org/wiki/Nile,"They were aware, for example, that a triangle had a right angle opposite the hypotenuse when its sides were in a 3 4 5 ratio. They were able to estimate the area of a circle by subtracting one-ninth from its diameter and squaring the result: Area (8 9)D 2 (256 81)r2 3.16r2, a reasonable approximation of the formula r2. Population Estimates of the size of the population range from 1 1.5 mil.",Information from Nile and Limping for a Generation,0.0,0.0,0.0,True,0.07605195045471191,9.968941926956177,10.045018911361694,dense
How are Nancy Drexel and Madagascar related?,"['https://en.wikipedia.org/wiki/Nancy_Drexel', 'https://en.wikipedia.org/wiki/Madagascar']",https://en.wikipedia.org/wiki/Nancy_Drexel,"Nancy Drexel (born Dorothy Kitchen, April 6, 1910, November 19, 1989) was an American film actress of the late silent and early sound era. She was sometimes credited by her birth name in films. She appeared in 29 films, generally B-film Westerns.",Information from Nancy Drexel and Madagascar,0.0,0.0,0.0,True,0.06741094589233398,3.6481590270996094,3.7155981063842773,dense
What is The Convention for?,https://en.wikipedia.org/wiki/Antarctica,https://en.wikipedia.org/wiki/ISO/IEC_2022,"Internet standards and specifications, some of which govern aspects of the Internet, not just the World Wide Web. Even when not web-focused, such standards directly or indirectly affect the development and administration of websites and web services. Considerations include the interoperability, accessibility and usability of web pages and websites.","The Convention for the Conservation of Antarctic Marine Living Resources, an international treaty that came into force in 1980, regulates fisheries, aiming to preserve ecological relationships",0.0,0.0,0.0,True,0.0769357681274414,4.3392369747161865,4.416197776794434,dense
What is the difference between Karl Haushofer and 1907 Southern Intercollegiate Athletic Association football season?,"['https://en.wikipedia.org/wiki/Karl_Haushofer', 'https://en.wikipedia.org/wiki/1907_Southern_Intercollegiate_Athletic_Association_football_season']",https://en.wikipedia.org/wiki/Merle_Schlosser,"On his graduation from the Munich Gymnasium (high school), in 1887, Haushofer entered the 1st Field Artillery regiment Prinzregent Luitpold of the Bavarian Army and completed Kriegsschule, Artillerieschule and War Academy (Kingdom of Bavaria).",Comparison of Karl Haushofer and 1907 Southern Intercollegiate Athletic Association football season,0.0,0.0,0.0,True,0.06516695022583008,6.355446100234985,6.420641899108887,dense
What is The sugars produced?,https://en.wikipedia.org/wiki/Photosynthesis,https://en.wikipedia.org/wiki/Biochemistry,"The simple carbon sugars photosynthesis produces are then used to form other organic compounds, such as the building material cellulose, the precursors for lipid and amino acid biosynthesis, or as a fuel in cellular respiration. The latter occurs not only in plants but also in animals when the carbon and energy from plants is passed through a food chain. The fixation or reduction of carbon dioxide.",The sugars produced during carbon metabolism yield carbon skeletons that can be used for other metabolic reactions like the production of amino acids and lipids,0.5,1.0,0.0,True,0.06399106979370117,5.44185996055603,5.505884170532227,dense
When did Niagara Falls happen?,https://en.wikipedia.org/wiki/Niagara_Falls,https://en.wikipedia.org/wiki/Niagara_Falls,"On August 6, 1918, an iron scow became stuck on the rocks above the falls. The two men on the scouw were rescued, but the vessel remained trapped on rocks in the river, and is still visible there in a deteriorated stat.","Niagara Falls is a group of three waterfalls at the southern end of Niagara Gorge, spanning the border between the Canadian province of Ontario and the U.S. state of New York. The largest of the three",1.0,1.0,0.0,True,0.06842207908630371,4.125042915344238,4.193498134613037,dense
Where is HEAnet located?,https://en.wikipedia.org/wiki/HEAnet,https://en.wikipedia.org/wiki/Gaspar_Grande,"Located on the western end of Gaspar Grande, Pointe Baleine is one of the main drop off sites for visitors to the Gasparee Caves. Bombshell Bay got its name from its historical past as there once was a fort located in this area. It is now a holiday resort.","HEAnet is the national education and research network of Ireland. HEAnet's e-infrastructure services support approximately 210,000 students and staff (third-level) in Ireland, and approximately 800,00",0.0,0.0,0.0,True,0.07654881477355957,4.549675941467285,4.6262688636779785,dense
"What is As of 2021,?",https://en.wikipedia.org/wiki/Olympic_Games,https://en.wikipedia.org/wiki/European_Union,"the start of the 2021 season and changed how prize money and TV revenue are distributed. Environmental impact Formula One has initiated a plan to become carbon neutral by 2030. By 2025, all events should have become sustainable , including eliminating single-use plastics and ensur.","As of 2021, since the 1988 Summer Olympics in Seoul, South Korea, the Olympics have been held in Asia or Oceania four times, a sharp increase compared to the previous 92 years of modern Olympic history",0.0,0.0,0.0,True,0.08566904067993164,3.7456672191619873,3.831362247467041,dense
What is Rock music?,https://en.wikipedia.org/wiki/Rock_music,https://en.wikipedia.org/wiki/Rock_music,"Rock music is a genre of popular music that originated in the United States as rock and roll in the late 1940s and early 1950s, developing into a range of styles from the mid-1960s.","Rock music is a genre of popular music that originated in the United States as  rock and roll  in the late 1940s and early 1950s, developing into a range of styles from the mid-1960s, primarily in the",1.0,1.0,0.0,True,0.06106209754943848,3.014857053756714,3.0759432315826416,dense
How is Vincent van Gogh used?,https://en.wikipedia.org/wiki/Vincent_van_Gogh,https://en.wikipedia.org/wiki/Vincent_van_Gogh,"He is among the most famous and influential figures in the history of Western art. In just over a decade, he created approximately 2,100 artworks, including around 860 oil paintings, most of them in the last two years of his life. His oeuvre includes landscapes, still.",Vincent Willem van Gogh (Dutch:  ˈvɪnsɛnt ˈʋɪləɱ vɑŋ ˈɣɔx  ; 30 March 1853   29 July 1890) was a Dutch Post-Impressionist painter who is among the most famous and influential figures in the history of,1.0,1.0,0.0,True,0.07761788368225098,3.8783957958221436,3.9560420513153076,dense
"What is Despite these regulations,?",https://en.wikipedia.org/wiki/Antarctica,https://en.wikipedia.org/wiki/World_Wide_Web,"The simplified declaration: It is the most important responsibility of libraries to offer collected materials and library facilities to the people who have the Right to Know as one of their fundamental human rights. In order to fulfill their mission, libraries shall recognize the following matters as their proper duties, and shall put them into practice. Libraries have freedom in collecting their.","Despite these regulations, illegal fishing particularly of the highly prized Patagonian toothfish which is marketed as Chilean sea bass in the U",0.0,0.0,0.0,True,0.06277918815612793,4.920494079589844,4.983297109603882,dense
What is This Convention on?,https://en.wikipedia.org/wiki/Antarctica,https://en.wikipedia.org/wiki/Scottish_Gaelic,"Requiring public bodies in Scotland, both Scottish public bodies and cross-border public bodies, insofar as they carry out devolved functions, to develop Gaelic language plans in relation to the services they offer, if requested to do so by BnG.",This Convention on the Regulation of Antarctic Mineral Resource Activities was adopted in 1988,0.0,0.0,0.0,True,0.0768289566040039,4.901814937591553,4.978675127029419,dense
Why was Same-sex marriage in Germany created?,https://en.wikipedia.org/wiki/Same-sex_marriage_in_Germany,https://en.wikipedia.org/wiki/Same-sex_marriage_in_Germany,A bill for the legalisation of same-sex marriage passed the Bundestag on 30 June 2017 and the Bundesrat on 7 July. It was signed into law on 20 July by President Frank-Walter Steinmeier and published in the Federal Law Gazette on 28 July 2017.,Same-sex marriage has been legal in Germany since 1 October 2017. A bill for the legalisation of same-sex marriage passed the Bundestag on 30 June 2017 and the Bundesrat on 7 July. It was signed into ,1.0,1.0,0.0,True,0.07102203369140625,5.079203128814697,5.15025520324707,dense
How are Thermodynamics and Amazon rainforest related?,"['https://en.wikipedia.org/wiki/Thermodynamics', 'https://en.wikipedia.org/wiki/Amazon_rainforest']",https://en.wikipedia.org/wiki/Amazon_rainforest,"Amazon rainforest could become unsustainable under conditions of severely reduced rainfall and increased temperatures, leading to an almost complete loss of rainforest cover in the basin by 2100., and severe economic, natural capital and ecosystem services impacts of not averting the tipping point.",Information from Thermodynamics and Amazon rainforest,0.0,0.0,0.0,True,0.06822514533996582,3.8532700538635254,3.9215261936187744,dense
How are Machine learning and Geoffrey Kelley related?,"['https://en.wikipedia.org/wiki/Machine_learning', 'https://en.wikipedia.org/wiki/Geoffrey_Kelley']",https://en.wikipedia.org/wiki/Machine_learning,"A joint team made up of researchers from AT T Labs-Research in collaboration with the Source 3: This line, too, was continued outside the AI CS field, as connectionism , by researchers from other disciplines, including John Hopfield, David Rumelhart, and Geoffrey Hinton. Their main success came in the mid-1980s with the reinvention of backpropagation. Machine learning (ML) is a field of study in artificial intelligence concerned with the development and study of statistical algorithms that can learn from data and generalize to unseen data, and thus perform tasks without explicit instructions.",Information from Machine learning and Geoffrey Kelley,0.0,0.0,0.0,True,0.07623291015625,9.584697961807251,9.660959005355835,dense
When was Bokaro Steel City established?,https://en.wikipedia.org/wiki/Bokaro_Steel_City,https://en.wikipedia.org/wiki/Bokaro_Steel_City,When the First Prime Minister Jawahar Lal Nehru desired to establish a steel plant in the region. Bokaro Steel Plant expansion to extend its capacity from 4.5 million metric tons to 7.5 million metri tonnes in 2010 2011.,"Bokaro, officially known as Bokaro Steel City (), is an industrial planned city in Jharkhand, India. With an estimated metropolitan population of 1.1 million and 183 square kilometres (71 sq mi) of ar",1.0,1.0,0.0,True,0.06603407859802246,3.2971439361572266,3.3632140159606934,dense
